F/C EXP;F/C IC;F/C LS/HS;F/C FSP;F/C FSV;F/C FT;F/C CD;F/C TRAIN;F/C RAW;F/C ST;F ST;SDRV SD;SDRV[14:9];SDRV[8:0];TTM;SPV XYV;SPV XYW;SPV SI;SPV SDX;SPV SDY ;CDD;STM;STATE RDY;STATE DRV;STATE FYV;STATE FXV;STATE FYW;STATE FXW;STATE FI;STATE ST;TEMP0;TEMP1;SUNX;SUNY;SUNX1;SUNY1;SUNX2;SUNY2;SUNVX;SUNVY;SUNI;ECC_ERR;CDS;RADDR;EADDR
8;3;1;0;0;0;1;1;0;0;1;1;24;81;27885;6;0;0;1;1;50503;2592613030;0;0;0;0;0;1;0;3;43;57;10686;5093;29033;37412;25830;47999;51385;13123;10845;13285;59655;23497;0
7;4;1;0;0;0;1;1;0;0;1;1;24;132;64248;1;3;2;7;12;33073;707930244;1;0;0;1;1;0;0;4;122;206;24586;28247;64527;12219;50361;53824;27713;53337;8293;55639;19556;36515;0
6;5;1;0;0;0;1;1;0;0;0;0;24;62;47504;0;3;2;4;7;11082;2167338037;0;1;0;1;0;1;1;7;151;32;60892;54088;44930;51129;10496;9117;43591;56352;4147;29897;58595;47198;0
5;6;1;0;0;0;1;1;0;0;0;0;24;140;55936;6;3;2;0;14;1716;3463568438;0;0;1;0;0;1;1;4;28;156;13628;29161;32598;80;56480;53346;39335;52741;8247;7882;38664;1858;0
4;7;1;0;0;0;1;1;0;0;1;0;24;240;27505;6;1;3;12;14;31300;954617013;0;0;1;0;1;1;0;6;154;118;5903;64586;56275;58554;43865;6005;57423;4862;62729;20957;2929;60178;0
3;0;0;1;0;0;1;1;0;0;1;1;25;194;24620;5;3;3;4;3;48964;1363618964;0;1;1;0;1;1;1;6;52;72;7678;15896;9262;13076;1240;37807;31846;18228;49108;57015;42260;55248;0
2;1;0;1;0;0;1;1;0;0;0;1;25;116;33586;2;0;1;6;8;29875;1498848618;1;0;0;0;0;0;1;3;1;106;3853;3954;31804;5827;52207;55923;1268;4303;52960;11300;32697;31601;0
1;2;0;1;0;0;1;1;0;0;1;1;25;10;42155;6;0;1;5;12;42779;3708468976;1;0;0;1;0;1;0;5;230;181;49254;10660;13199;4641;49699;23661;22588;19017;57616;8147;1329;28810;0
0;3;0;1;0;0;1;1;0;0;1;0;25;69;50219;5;0;1;5;6;41445;1421763213;0;1;1;1;1;1;1;7;94;115;1630;16135;8018;18880;56022;29734;4075;49816;42891;46491;60017;43245;0
31;3;0;1;0;0;1;1;0;0;1;0;25;37;16742;3;2;3;7;14;33447;1902747560;0;1;1;1;1;0;0;7;158;23;22089;9772;47494;48192;51725;12665;47647;31807;64905;44641;4741;25391;0
30;4;0;1;0;0;1;1;0;0;0;1;25;193;4810;4;1;1;2;11;25807;524383749;1;1;1;0;0;1;1;0;54;167;58404;41090;20014;53379;39088;40261;43716;23194;62923;57603;15842;55991;0
29;5;0;1;0;0;1;1;0;0;0;1;25;70;23799;7;1;2;2;0;8452;1806096307;1;0;0;1;1;0;1;2;63;32;106;25477;60110;5079;17595;27421;5357;3997;41197;33595;51776;31427;0
28;6;0;1;0;0;1;1;0;0;0;0;25;247;61700;6;2;1;3;6;46250;1854638572;0;0;1;1;0;0;0;1;42;156;45628;63994;21296;34490;50602;54823;4109;62726;39210;22748;60158;18587;0
27;7;0;1;0;0;1;1;0;0;1;0;25;219;25251;7;1;0;10;11;26335;367294889;0;0;1;0;0;0;1;2;51;170;15420;14927;56444;19434;7701;22551;2826;51341;11827;14615;26393;27915;0
26;0;1;1;0;0;1;1;0;0;1;0;25;200;5713;5;1;0;14;12;44311;2714353757;0;1;1;1;0;0;1;0;192;102;19003;8347;54481;1913;12015;2032;62851;51829;37348;58877;1246;37293;0
25;1;1;1;0;0;1;1;0;0;0;0;25;108;20705;4;2;0;12;13;18017;2518122626;0;0;1;0;1;0;1;0;59;99;28673;12013;35530;12717;9504;24420;32281;58191;34315;59134;11824;64122;0
24;2;1;1;0;0;1;1;0;0;1;1;25;65;21943;7;0;2;9;12;60043;1587679743;0;1;0;1;1;1;1;1;208;188;29996;61716;33488;25583;13382;37207;64144;33217;48214;22839;2333;13510;0
23;3;1;1;0;0;1;1;0;0;1;1;25;78;16177;1;1;2;10;14;57640;3127199034;1;1;0;0;0;1;1;1;242;123;38958;4100;13911;34459;48821;202;56101;23674;57107;2559;49589;19137;0
22;4;1;1;0;0;1;1;0;0;1;0;25;185;24322;6;3;2;0;7;59456;1285225554;0;1;1;0;0;0;0;6;59;96;25865;2212;465;9472;39345;14644;13217;37938;22650;64512;17650;2348;0
21;5;1;1;0;0;1;1;0;0;0;0;25;129;46189;4;0;0;1;6;7634;2727289525;0;0;0;1;0;1;0;7;127;209;61801;49819;8154;40609;367;37801;47819;17906;14144;62105;29224;56767;0
20;6;1;1;0;0;1;1;0;0;1;1;25;177;16243;1;0;1;4;5;26132;1810304251;1;1;0;0;1;0;1;3;1;11;48684;36235;61475;61694;21834;52237;35326;61809;7354;22422;18224;25816;0
19;7;1;1;0;0;1;1;0;0;1;1;25;208;462;4;1;0;4;0;59207;1739064827;0;1;1;1;1;1;1;0;180;85;18388;44292;24888;24996;24156;57134;61671;57115;49322;8189;40479;39410;0
18;0;0;0;1;0;1;1;0;0;0;0;26;220;62688;6;1;2;13;14;38177;3696535133;1;1;0;0;0;0;0;7;16;145;46835;38872;63939;45620;39157;44304;7753;21913;40768;9678;12458;55467;0
17;1;0;0;1;0;1;1;0;0;1;0;26;2;4893;0;3;3;2;8;63934;822526624;1;0;1;1;0;1;0;3;201;172;54025;14030;13138;31291;46842;33061;31990;7010;51079;19611;31971;7837;0
16;2;0;0;1;0;1;1;0;0;1;1;26;129;735;1;0;3;6;11;38726;2268388684;0;0;1;0;0;1;1;0;132;128;56160;20061;17923;42687;52700;21849;27269;21017;55047;61648;31005;2183;0
15;3;0;0;1;0;1;1;0;0;0;1;26;218;44130;1;2;0;2;13;25426;1885344757;0;1;1;0;1;1;0;7;63;135;44476;50543;5758;13791;34433;27066;50816;34756;19329;61884;12984;64929;0
14;4;0;0;1;0;1;1;0;0;1;0;26;11;56555;0;2;3;3;3;48253;3695200957;0;0;0;0;1;0;0;7;184;120;24443;7912;15767;25343;41616;24032;45667;7559;17917;18723;5266;18186;0
13;5;0;0;1;0;1;1;0;0;1;0;26;4;15612;5;2;0;3;10;5281;3156872654;0;1;1;1;0;1;0;4;70;219;12722;25300;1713;64483;8498;20068;21899;37240;56919;64621;39019;24966;0
12;6;0;0;1;0;1;1;0;0;0;0;26;87;4152;4;2;0;0;12;43852;4006277240;1;1;1;0;1;0;0;5;227;41;49508;3803;21210;27872;20394;17807;16615;49036;62842;60140;42887;58330;0
11;7;0;0;1;0;1;1;0;0;0;0;26;31;47229;3;0;1;8;2;7122;2976811298;1;1;1;0;0;1;0;4;111;170;16309;57902;19573;41262;34158;62634;28837;14648;50380;51209;65195;7983;0
10;0;1;0;1;0;1;1;0;0;1;1;26;222;49770;3;0;0;1;15;25526;1349288456;1;1;1;0;1;0;0;3;199;144;64128;49464;37810;12813;13454;51683;33939;15664;30615;58790;7518;17342;0
9;1;1;0;1;0;1;1;0;0;0;1;26;128;14245;7;0;3;10;3;26817;162301094;0;1;1;0;0;1;1;7;246;148;23;61241;29610;32480;32752;39203;33964;34082;60394;33952;51567;9701;0
8;2;1;0;1;0;1;1;0;0;0;0;26;146;10765;5;2;2;0;1;26208;1287894594;1;1;0;1;1;1;0;2;21;11;18340;44847;41138;7873;50626;699;38422;27028;15154;28737;7454;14304;0
6;4;1;0;1;0;1;1;0;0;1;1;26;21;23409;0;2;3;9;5;37639;3338674187;0;1;1;1;0;1;0;7;140;5;64264;60754;13206;45021;34620;14856;30633;424;12968;3869;30417;54218;0
5;5;1;0;1;0;1;1;0;0;0;1;26;119;33016;1;3;3;11;1;31051;2777903226;0;1;0;1;0;0;0;1;55;100;1527;57359;41247;47608;37863;48536;10579;53016;56086;44882;65469;63301;0
3;7;1;0;1;0;1;1;0;0;1;1;26;122;61876;3;0;1;9;2;53101;1163764014;1;1;0;1;1;1;0;7;101;204;62640;19527;41278;48220;16331;37711;4097;60185;58030;16777;30335;10537;0
2;0;0;1;1;0;1;1;0;0;0;0;27;117;25740;2;3;0;1;13;41146;771904111;1;1;1;1;1;1;1;3;117;128;44594;40665;49499;27752;42406;13061;64167;45045;37030;63211;40130;37421;0
1;1;0;1;1;0;1;1;0;0;0;0;27;49;39097;7;0;0;11;5;63168;2842867914;0;1;0;1;0;1;1;4;130;235;12037;17783;51951;31956;15702;584;34375;28862;53437;56572;55699;18009;0
0;2;0;1;1;0;1;1;0;0;1;1;27;174;12030;6;2;1;3;13;39731;324275799;1;0;1;1;1;0;0;6;201;101;47577;47700;27562;60508;12216;33314;56750;41599;35237;48138;24205;51561;0
31;2;0;1;1;0;1;1;0;0;0;1;27;181;65022;4;2;3;7;11;22941;2976984961;1;1;0;1;0;0;0;4;13;82;33275;32480;17120;34900;51449;23660;39055;61587;9501;63516;26033;9895;0
30;3;0;1;1;0;1;1;0;0;0;0;27;214;35877;2;0;0;0;15;46940;977406988;0;1;0;1;0;1;1;3;171;189;8781;4920;31662;28701;9230;8255;61986;11965;11174;42883;51077;9484;0
29;4;0;1;1;0;1;1;0;0;1;1;27;154;250;1;1;2;0;7;43023;2433637001;1;1;1;1;1;0;0;7;27;117;63713;12158;33086;21462;35036;1092;33571;42577;17486;35207;38295;29535;0
28;5;0;1;1;0;1;1;0;0;1;0;27;76;45458;7;0;3;11;13;29455;2819757094;1;0;0;1;1;1;1;2;189;110;55881;48370;57746;47263;49584;60573;32493;23822;40202;48876;4649;54784;0
27;6;0;1;1;0;1;1;0;0;1;1;27;235;50384;5;0;3;8;7;26451;1903278;1;1;0;0;1;0;0;1;27;65;23442;16201;48600;26822;48601;10374;7080;50779;20422;25419;17555;61734;0
26;7;0;1;1;0;1;1;0;0;0;0;27;74;61313;1;2;2;1;10;57235;3677004281;0;0;0;0;0;0;0;2;237;66;55946;61588;25280;29351;31664;53645;31666;37133;61747;4457;26342;20406;0
25;0;1;1;1;0;1;1;0;0;1;1;27;46;12901;0;1;3;3;2;36920;130242800;1;0;1;0;1;0;1;2;0;247;10960;30815;27169;34153;39717;43615;58724;30284;10264;18197;19527;38966;0
24;1;1;1;1;0;1;1;0;0;0;1;27;43;18961;6;2;1;13;14;48170;64458120;0;0;0;0;1;1;0;5;183;227;54150;4096;57413;36542;17931;13832;62133;59184;18751;37735;46695;46243;0
23;2;1;1;1;0;1;1;0;0;1;1;27;46;30531;5;2;2;12;8;5200;4217609426;1;1;1;1;1;1;1;3;142;254;46114;2321;49309;31297;24966;35419;27857;683;42464;33016;41321;21784;0
22;3;1;1;1;0;1;1;0;0;1;1;27;84;65182;1;1;2;9;9;60357;2325969558;0;1;1;0;0;0;0;2;39;73;5365;14919;8487;61028;15309;7;33564;12006;55921;12181;17546;41548;0
21;4;1;1;1;0;1;1;0;0;1;0;27;1;18205;5;0;2;1;0;43658;3399802016;0;1;0;1;1;0;0;7;243;62;64706;65432;41519;3413;29579;7004;25066;32768;44014;8951;27146;8684;0
20;5;1;1;1;0;1;1;0;0;0;0;27;1;25252;2;3;2;8;2;42356;710571871;0;0;1;0;1;1;1;3;122;246;23148;15112;5988;29416;46697;14416;46769;28881;11970;838;3904;61985;0
19;6;1;1;1;0;1;1;0;0;1;0;27;251;62878;7;3;0;14;10;39409;2348854078;1;0;1;0;1;0;0;7;41;237;26271;59646;33286;5359;36516;45603;16433;27818;48418;3792;64327;53995;0
18;7;1;1;1;0;1;1;0;0;0;1;27;24;54787;5;0;0;0;13;19422;1117587012;0;1;1;0;0;0;1;0;84;7;59883;60990;52671;61066;24514;58559;19047;41452;8791;52727;26172;15243;0
17;0;0;0;0;1;1;1;0;0;1;0;28;73;37871;4;2;3;2;3;56195;4197415180;1;1;1;0;0;1;1;3;0;11;55831;47146;19471;17546;29285;26735;55344;63165;42554;15439;25713;52381;0
16;1;0;0;0;1;1;1;0;0;0;0;28;94;143;4;2;2;2;13;5800;15177113;0;1;0;0;0;0;0;1;79;85;2019;1536;5211;28405;65053;61950;10907;8649;29817;12148;24576;1619;0
15;2;0;0;0;1;1;1;0;0;0;1;28;233;43539;1;0;2;9;7;6447;4202269850;1;1;1;1;1;1;1;6;157;76;56604;149;50856;41115;31245;61345;43995;29121;49051;59292;65392;5251;0
14;3;0;0;0;1;1;1;0;0;1;0;28;135;51692;6;1;3;12;7;5425;1085620015;1;1;0;1;0;0;0;2;100;241;16548;30885;118;50056;38712;20284;63723;34535;10523;19191;28819;33814;0
13;4;0;0;0;1;1;1;0;0;0;0;28;147;32774;4;3;0;1;5;30825;1237365588;1;0;1;1;0;1;0;0;155;179;51259;1234;14557;3097;60416;895;13170;33010;36274;47592;55622;40936;0
12;5;0;0;0;1;1;1;0;0;0;1;28;55;44338;3;2;1;14;0;42264;3955808524;0;0;1;1;1;0;0;0;74;88;62217;36204;25509;7128;48249;23;41024;50980;59658;16532;46683;50926;0
11;6;0;0;0;1;1;1;0;0;0;1;28;62;61581;2;3;0;6;7;4963;1858940288;1;0;1;1;0;0;1;6;232;3;25090;62804;22923;42305;41507;57877;4643;54713;12;3506;31595;18435;0
10;7;0;0;0;1;1;1;0;0;1;1;28;158;8926;5;1;3;9;1;15535;2657492573;1;1;1;1;0;1;1;0;151;220;17040;53550;38829;38150;20019;63130;48957;20989;948;4;19999;46616;0
9;0;1;0;0;1;1;1;0;0;1;0;28;198;22625;4;3;2;10;8;32768;565367650;1;0;1;1;1;0;1;1;47;65;24873;759;26176;61133;6296;14003;51987;49535;317;28994;121;37008;0
8;1;1;0;0;1;1;1;0;0;1;1;28;241;27409;7;1;3;3;2;34748;117478091;1;1;0;0;0;1;1;1;43;92;51673;11945;12914;24940;26706;59153;35792;2774;37664;64141;9927;20717;0
7;2;1;0;0;1;1;1;0;0;0;1;28;203;29935;3;2;0;11;0;26036;2750087180;1;0;1;0;0;0;0;5;142;178;8153;10612;26780;33064;60470;39432;9868;10112;45557;63695;3173;30153;0
6;3;1;0;0;1;1;1;0;0;0;1;28;224;28564;4;0;0;7;12;63247;2255947629;1;1;1;1;0;1;1;3;92;179;32774;24929;20270;41862;8715;59886;25;64242;53463;22737;13082;27330;0
5;4;1;0;0;1;1;1;0;0;1;1;28;206;33339;0;2;1;0;5;62034;2029798677;1;0;1;1;0;1;1;4;163;166;47202;37436;4972;61440;1605;25823;10410;55816;60013;9700;57081;39193;0
4;5;1;0;0;1;1;1;0;0;1;1;28;154;33;3;3;0;5;0;16001;2054859418;1;1;1;0;0;1;1;3;192;197;8183;21345;22652;57395;49153;1362;14753;51318;6244;48947;42298;27367;0
3;6;1;0;0;1;1;1;0;0;1;0;28;164;42271;7;3;0;0;0;60538;3149809837;1;0;0;1;0;0;1;4;145;9;12944;5471;56143;60540;24092;15844;52245;32770;42455;42849;14736;39937;0
2;7;1;0;0;1;1;1;0;0;1;0;28;12;30634;7;0;1;0;8;61200;888534863;1;0;1;0;0;0;0;7;226;132;3401;43125;17278;30188;62429;8103;63371;16432;11101;53248;446;4171;0
1;0;0;1;0;1;1;1;0;0;1;0;29;97;63823;6;2;0;1;3;51200;40073422;1;0;1;0;1;1;0;7;199;152;31907;47658;50189;9336;45093;16422;51799;20729;2669;18882;10;35642;0
0;1;0;1;0;1;1;1;0;0;1;0;29;163;51799;6;0;1;11;15;1063;792800782;1;0;1;0;0;1;0;7;153;164;38126;48418;59364;24246;65207;4074;26849;36050;43726;22239;10;62620;0
31;1;0;1;0;1;1;1;0;0;1;0;29;186;40612;5;0;0;8;12;13801;644516767;0;1;1;1;1;1;1;3;101;124;14544;11088;13631;25523;62882;49885;24282;47457;56200;19287;29555;33792;0
30;2;0;1;0;1;1;1;0;0;0;1;29;24;18430;0;3;1;4;7;56511;838872974;0;0;0;1;0;0;1;3;38;215;49343;42763;54008;39847;29109;6474;34856;10778;59759;23710;34246;28521;0
29;3;0;1;0;1;1;1;0;0;1;1;29;68;63905;3;1;2;8;9;13558;2127757651;0;1;0;1;0;1;1;0;171;176;4895;62496;13402;43634;34596;53732;977;20356;39284;17760;44280;51045;0
28;4;0;1;0;1;1;1;0;0;0;1;29;58;35374;7;2;2;5;7;25327;2251049063;0;0;1;1;0;0;1;3;186;0;43714;27478;45595;39737;32062;61368;60308;64708;39996;21543;8;37205;0
27;5;0;1;0;1;1;1;0;0;0;0;29;13;61006;7;1;3;11;5;49040;1816029363;0;1;1;0;0;0;0;0;82;129;153;23248;12320;15766;51052;47937;52339;30252;6177;50862;50128;33598;0
26;6;0;1;0;1;1;1;0;0;1;0;29;107;16384;0;0;0;0;0;0;13312;0;0;0;1;0;1;0;3;85;0;6090;0;0;0;0;0;0;0;0;0;0;0;0
25;7;0;1;0;1;1;1;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0;1;1;0;1;1;1;0;0;0;0;29;0;43823;0;0;3;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;1;1;1;0;1;1;1;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45056;3116;40064;2419;0;0;36678;3;0;35792;25;0
22;2;1;1;0;1;1;1;0;0;0;0;29;0;0;0;0;0;0;0;15360;0;0;0;0;0;0;0;0;0;0;0;40960;15291;17;11664;96;0;0;0;0;0;0;0;0
21;3;1;1;0;1;1;1;0;0;1;0;29;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;4;1;1;0;1;1;1;0;0;0;0;29;0;0;0;0;0;0;0;0;40960;1;1;1;1;1;1;1;5;0;50;49344;124;0;0;0;0;0;0;0;0;0;0;0
19;5;1;1;0;1;1;1;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49152;51177;49155;0
18;6;1;1;0;1;1;1;0;0;0;1;29;192;22455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36864;3067;50176;30755;0;0
17;7;1;1;0;1;1;1;0;0;0;0;29;0;0;0;0;0;0;0;0;12288;1;1;1;1;0;1;1;5;112;0;6744;49152;29864;49158;10510;0;0;0;0;0;0;0;0
16;0;0;0;1;1;1;1;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3072;0
15;1;0;0;1;1;1;1;0;0;0;1;30;192;0;0;0;0;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;2;0;0;1;1;1;1;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65534;28284;11425;58286;1029;125;0
13;3;0;0;1;1;1;1;0;0;0;0;30;205;28469;5;2;0;7;2;62373;3563997039;1;1;0;1;1;0;1;2;141;187;53535;17482;46012;15033;37747;11966;36515;52296;59066;24905;64235;55860;0
12;4;0;0;1;1;1;1;0;0;1;1;30;39;23157;6;3;2;10;0;33175;4213389007;1;1;0;0;1;0;1;6;2;48;18104;47649;1078;22186;13991;50504;40191;40967;12130;44278;7991;10407;0
11;5;0;0;1;1;1;1;0;0;0;1;30;145;4411;5;1;2;14;3;25768;2182488160;0;1;1;0;1;1;0;3;32;191;38267;13689;2885;30391;27954;20176;56341;22005;14339;50406;37784;12162;0
10;6;0;0;1;1;1;1;0;0;0;0;30;5;38094;1;2;1;8;5;58407;4065378400;1;0;1;0;0;1;1;6;23;150;30538;44996;50512;28595;5356;29062;37169;64649;57169;31596;15140;12886;0
9;7;0;0;1;1;1;1;0;0;0;0;30;214;38582;3;1;1;10;13;20388;2033618667;1;0;1;0;0;0;1;7;204;229;46924;12716;46743;26484;62282;16063;47189;14745;31570;57696;54839;6389;0
8;0;1;0;1;1;1;1;0;0;1;0;30;53;12526;6;2;3;11;15;58316;2522117379;0;0;0;0;1;0;0;2;194;173;22301;4223;31279;32309;47277;21774;2475;13366;13853;11892;55421;53880;0
7;1;1;0;1;1;1;1;0;0;1;0;30;221;45435;0;1;0;3;7;25540;38896227;0;1;1;0;0;0;1;3;185;240;365;5675;19557;5624;35645;13554;17353;2080;14959;44324;28336;4872;0
6;2;1;0;1;1;1;1;0;0;1;0;30;116;48979;6;3;3;1;7;4684;2365605029;1;1;0;0;1;1;1;1;184;229;5178;20250;30202;11894;35493;41505;27591;36736;394;36098;64928;31656;0
5;3;1;0;1;1;1;1;0;0;0;0;30;235;5972;6;0;2;12;5;34641;3508740031;1;1;0;1;1;0;1;6;178;218;393;13047;59696;12317;45723;45703;8129;1967;51634;52137;51136;57718;0
4;4;1;0;1;1;1;1;0;0;1;0;30;150;30050;6;3;2;10;0;31517;1887287103;1;0;0;1;0;0;1;0;98;40;35255;50752;33906;6441;26345;29460;10455;57387;22083;56443;8709;50380;0
3;5;1;0;1;1;1;1;0;0;0;1;30;111;24770;6;0;1;0;14;55713;4286203381;1;0;1;0;1;0;1;1;20;240;6161;58652;38662;3122;56620;51958;541;53250;6188;35862;41403;39637;0
2;6;1;0;1;1;1;1;0;0;1;1;30;96;20868;5;0;1;14;5;694;2409412961;0;0;1;0;1;0;1;7;82;69;43663;50389;24282;14674;13353;7853;44238;36257;16509;62801;49084;45184;0
1;7;1;0;1;1;1;1;0;0;0;0;30;125;49277;0;1;2;12;0;1803;1224537939;1;1;0;0;0;1;0;5;24;0;44180;25761;42833;30141;12443;52824;44352;48314;31861;46543;35817;54754;0
0;0;0;1;1;1;1;1;0;0;1;1;31;33;23235;3;0;0;5;4;20714;33148880;0;1;1;0;0;0;1;1;29;136;59235;63414;48291;9779;6883;47294;48308;56917;60014;65242;50001;18247;0
31;0;0;1;1;1;1;1;0;0;0;0;31;185;805;5;0;2;15;1;14266;3173785927;1;0;1;0;0;1;0;1;74;15;1120;61983;56883;38490;38811;63685;24438;61699;60660;56224;49941;2160;0
30;1;0;1;1;1;1;1;0;0;0;0;31;105;30288;6;0;0;3;13;27176;777388977;0;0;0;1;0;0;0;7;152;188;54197;9578;50093;45034;40922;56347;61303;33900;32715;43872;37295;18293;0
29;2;0;1;1;1;1;1;0;0;0;1;31;52;9722;7;2;1;0;0;27642;1653642885;1;1;0;1;1;0;0;7;169;27;27052;41104;22254;6400;64994;43847;47500;15496;52304;63019;19622;47700;0
28;3;0;1;1;1;1;1;0;0;0;1;31;127;6453;3;1;1;10;6;22624;827727817;0;0;1;1;1;0;0;1;203;141;2798;60203;47760;14811;5810;47900;19721;18435;37873;31744;51996;54383;0
27;4;0;1;1;1;1;1;0;0;0;1;31;56;63303;0;1;2;6;3;28835;3414886023;1;1;1;1;0;0;1;6;24;211;28849;52624;61886;32350;60104;51425;1235;40178;48678;31840;34672;6392;0
26;5;0;1;1;1;1;1;0;0;0;1;31;160;15750;3;2;0;14;3;40896;1423829415;1;1;0;0;1;0;1;3;175;241;30826;9674;26042;44594;29349;3482;15978;31829;31726;40320;29902;42718;0
25;6;0;1;1;1;1;1;0;0;1;1;31;222;31026;3;0;1;11;9;54489;1506225460;0;1;0;0;0;1;0;4;143;9;38098;46854;9145;2659;63123;11396;14240;11985;888;52447;48950;13946;0
24;7;0;1;1;1;1;1;0;0;1;1;31;141;28850;7;2;1;8;9;47742;1775725093;1;0;0;0;1;0;1;6;91;56;27284;7425;5524;63508;33497;614;58663;64491;21045;27616;51772;29076;0
23;0;1;1;1;1;1;1;0;0;0;0;31;66;6442;2;3;0;1;6;9218;2554203004;1;0;0;0;0;0;0;5;220;195;36592;30646;15768;7656;3801;36417;23280;4061;43081;43897;50446;21030;0
22;1;1;1;1;1;1;1;0;0;0;1;31;214;54703;5;0;3;9;10;16922;232055995;0;0;0;0;1;0;1;0;154;37;30391;26277;15715;17169;25399;24299;16732;30525;48001;20493;10554;55545;0
21;2;1;1;1;1;1;1;0;0;0;1;31;49;23667;2;1;0;2;8;492;1571562790;1;1;1;1;1;1;0;5;244;213;33630;29142;28767;58182;32215;60734;48662;13767;36237;58857;35661;3746;0
20;3;1;1;1;1;1;1;0;0;1;0;31;151;43068;7;1;1;8;15;33002;2917267140;1;0;0;0;0;0;1;7;205;59;48100;63335;62929;51049;3846;2228;15031;46611;36733;64016;55178;63787;0
19;4;1;1;1;1;1;1;0;0;0;0;31;97;22394;5;1;2;14;15;56822;3991164800;0;1;1;1;1;0;0;4;111;69;28426;57353;30832;54959;35403;33733;4632;1133;16970;7504;3135;57001;0
18;5;1;1;1;1;1;1;0;0;1;1;31;208;26513;2;0;0;4;11;46046;3290502766;1;1;0;1;0;0;1;0;198;224;65286;16303;28328;25837;4588;51932;26940;24335;54504;32206;2257;61247;0
17;6;1;1;1;1;1;1;0;0;0;1;31;153;5333;7;0;0;0;10;29442;2065682124;0;0;0;0;1;0;0;3;50;54;31000;61932;23783;13686;12565;63903;3880;21007;2461;7367;6175;51675;0
16;7;1;1;1;1;1;1;0;0;0;1;31;151;19100;4;2;3;6;2;30961;3894578642;1;0;1;1;1;0;1;2;103;131;34923;22279;21807;61166;27828;27995;14082;38842;50589;28187;54408;52306;0
15;0;0;0;0;0;0;0;1;0;1;1;32;98;2000;5;1;0;7;8;9753;134775397;0;1;0;0;1;0;1;7;234;213;19474;9995;39872;33334;18887;42094;37147;64678;49722;42133;45122;55898;0
13;2;0;0;0;0;0;0;1;0;0;1;32;175;55749;0;2;0;1;13;36913;3144733980;1;1;1;1;0;1;1;5;223;237;64434;5071;59229;44968;10691;13622;61409;19196;5529;43494;47816;61371;0
12;3;0;0;0;0;0;0;1;0;1;0;32;134;2296;7;2;2;2;1;21234;2536533429;0;0;0;1;0;1;1;3;248;60;29508;15513;21822;23329;53948;54712;25148;52807;16162;45003;64744;57894;0
11;4;0;0;0;0;0;0;1;0;1;0;32;120;12922;1;1;0;12;13;30912;1233105299;0;0;0;1;1;0;1;4;135;70;33475;24535;57155;28171;43319;58877;20673;45113;53099;19196;24782;45737;0
10;5;0;0;0;0;0;0;1;0;1;0;32;127;9956;5;0;2;2;0;3695;2943066685;0;0;1;0;0;1;1;4;190;238;5289;4283;12139;64099;42016;35024;55606;12884;28575;43572;59376;5428;0
9;6;0;0;0;0;0;0;1;0;0;0;32;190;15674;6;3;2;15;2;42919;3960031296;1;0;0;0;0;1;0;5;158;94;8338;55787;31183;33243;54564;24824;43703;9970;2019;5228;6388;41639;0
8;7;0;0;0;0;0;0;1;0;1;1;32;4;39987;5;1;1;14;4;31297;851976884;1;1;1;1;0;0;0;6;252;103;37949;6233;49569;50905;15803;40854;28299;5421;61002;3169;32668;38485;0
7;0;1;0;0;0;0;0;1;0;1;1;32;5;24449;6;0;3;3;7;40040;3297937116;0;0;1;0;1;1;0;7;88;160;25636;42052;42392;29282;47780;22783;46012;15795;29989;44558;23297;61028;0
6;1;1;0;0;0;0;0;1;0;0;0;32;234;11297;4;2;2;6;14;64924;704097038;1;1;0;1;0;1;1;0;139;32;1975;7134;29394;8094;48721;40461;52760;58761;37227;5702;60597;46008;0
5;2;1;0;0;0;0;0;1;0;0;0;32;51;46846;7;3;2;3;12;12170;236295196;1;0;0;0;1;0;0;2;110;66;18440;6015;25020;29354;49525;47668;14982;61424;37680;51393;777;31948;0
4;3;1;0;0;0;0;0;1;0;0;0;32;191;16561;3;1;1;13;9;31018;1817735037;1;0;0;0;1;0;1;4;81;173;59827;10978;7352;3316;42070;61823;22434;53219;19178;58524;39661;18633;0
